,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,212.0,391.0,3300.0,3282.0,2682.0,2703.0,2474.0,2465.0,2464.0,2471.0,2441.0
1,212.0,0.0,397.0,3315.0,3272.0,2690.0,2707.0,2490.0,2480.0,2486.0,2484.0,2454.0
2,391.0,397.0,0.0,3302.0,3270.0,2708.0,2723.0,2505.0,2485.0,2488.0,2497.0,2460.0
3,3300.0,3315.0,3302.0,0.0,1179.0,2595.0,2578.0,2586.0,2632.0,2571.0,2583.0,2571.0
4,3282.0,3272.0,3270.0,1179.0,0.0,2529.0,2552.0,2608.0,2627.0,2607.0,2605.0,2597.0
5,2682.0,2690.0,2708.0,2595.0,2529.0,0.0,581.0,1830.0,1868.0,1832.0,1843.0,1833.0
6,2703.0,2707.0,2723.0,2578.0,2552.0,581.0,0.0,1858.0,1895.0,1851.0,1867.0,1857.0
7,2474.0,2490.0,2505.0,2586.0,2608.0,1830.0,1858.0,0.0,746.0,673.0,695.0,681.0
8,2465.0,2480.0,2485.0,2632.0,2627.0,1868.0,1895.0,746.0,0.0,412.0,442.0,208.0
9,2464.0,2486.0,2488.0,2571.0,2607.0,1832.0,1851.0,673.0,412.0,0.0,212.0,345.0
10,2471.0,2484.0,2497.0,2583.0,2605.0,1843.0,1867.0,695.0,442.0,212.0,0.0,367.0
11,2441.0,2454.0,2460.0,2571.0,2597.0,1833.0,1857.0,681.0,208.0,345.0,367.0,0.0
